nom,adresse,téléphone,Accès,Site,Instagram
My Cowork,"54 rue Greneta, 75002 Paris",01 85 09 08 29,Métro Sentier (ligne 3),http://mycowork.fr/,
le 10h10,"210 rue Saint-Martin, 75003 Paris",01 44 49 92 59,"Métro Etienne Marcel (Ligne 4), et Rambuteau (Ligne 11)",http://www.le10h10.com/fr/coworking-cafe/,https://www.instagram.com/le10h10/
Hubsy,"41 Rue Réaumur, 75003 Paris",01 43 56 89 80,Métro Arts et Métiers (ligne 3),https://www.hubsy.fr/,https://www.instagram.com/hubsycafe/
The Office,"19 rue Claude Bernard, 75 005 Paris",06 60 77 02 41,Métro Censier – Daubenton (Ligne 7) ou Port-Royal (RER B),https://www.theoffice-paris.com/,
Mozaik Coworking,"41 Rue de la Chaussée d’Antin, 75009 Paris",06 42 63 79 34,"Métro Chaussée d’Antin la Fayette (Lignes 7 et 9), Trinité d’Estienne d’Orves (Ligne 12), et Haussmann – Saint-Lazare (RER A, lignes 3, 9, 12, 13 et 14)",http://www.mozaik-coworking.com/,
BGE PaRIF,"18 Rue du Faubourg du Temple, 75011 Paris",01 43 55 09 48,"Métro République (lignes 3, 5, 8, 9 et 11)",http://www.bge-parif.com/sites/bge/accueil/le-coworking.html,
Cool and Workers,"30-34 rue du Chemin Vert 75011, Paris",01 80 88 48 28,Métro Voltaire (Ligne 9) et Bréguet-Sabin (Ligne 5).,https://www.coolandworkers.com/,
Greenspace Paris,"28 rue du Chemin Vert, 75 011 Paris",01 43 38 14 51,"Métro Richard-Lenoir ou Bréguet-Sabin (Ligne 5), St-Ambroise (Ligne 9) ou Chemin Vert (Ligne 8)",http://greenspace-paris.com,
Le Tank,"22 bis rue des Taillandiers, 75011 Paris",01 43 14 71 23,Métro Bréguet-Sabin (ligne 5),https://letank.fr/,https://www.instagram.com/letankparis/
PLANET COWORKING,"119 rue du Chemin Vert, 75011 Paris",07 64 50 05 55,Métro Rue Saint-Maur (ligne 3),http://www.planet-coworking.com,
PLANET COWORKING,"119 rue du Chemin Vert, 75011 Paris",07 64 50 05 55,Métro Rue Saint-Maur (ligne 3),http://www.planet-coworking.com,
Grand Tour,"30 rue des 3 Bornes, 75011 Paris",01 48 06 85 22,"Métro Parmentier ( ligne 3), Couronnes (ligne 2)",https://grandtour.paris/,
La Cordée Paris Gare de Lyon,"61 rue Traversière, 75 012 Paris",01 81 29 47 90,"Gare de Lyon (Lignes 1 et 14, RER A) et Ledru-Rollin (Ligne 8)",https://www.la-cordee.net/cordee/paris/paris-gare-de-lyon/,
LYDD Consulting,51 rue Claude Decaen 75012 Paris,01 73 71 83 68,Métro Daumesnil (ligne 6 et 8),http://lyddconsulting.com/coworking/,
Digital Village Paris 13,"13 rue Vandrezanne, 75 013 Paris",06 20 85 50 62,"Métros Place d’Italie (lignes 5, 6, 7) et Tolbiac (ligne 7)",http://digital-village.fr/coworking/paris,https://www.instagram.com/digitalvillage.fr/
9GDM,"9 rue Guyton de Morveau, 75 013 Paris",01 84 19 50 47,,https://9gdm.com,
Mon premier bureau,"29 Rue Brézin, 75014 Paris",,Métro Alésia (ligne 4),http://www.monpremierbureau.org/,
We art from Paris,"40 rue Castagnary, 75015 Paris",06 82 56 82 11,Métro Plaisance (ligne 13),https://weartfromparis.com/,https://www.instagram.com/weartfromparis/
Patchwork,"10 rue Pergolèse, 75016 paris",01 42 21 15 44,Métro Porte Maillot (ligne 1),http://www.patchwork.co/,https://www.instagram.com/patchworkspace
The Place To…,"47 avenue de Wagram, 75017, PARIS",0145747928,"Métro Charles de Gaulle Etoile (lignes 1, 2, 6, RER A), Métro Ternes (ligne 2)",http://www.theplaceto.paris,http://www.instagram.com/theplacetoparis
Le Well Lab,"10 rue des Renaudes, 75017 Paris",01 44 09 96 78,Métro Ternes (ligne 2),http://www.lewelllab.fr/,
Work In Paris,"111 Rue Cardinet, 75017 Paris",01 85 09 38 60,Métro Malesherbes (ligne 3),http://www.workinparis.com/cardinet,https://www.instagram.com/workinparis/
SPLIT Coworking,"3 rue Stephenson, 75 018 Paris",01 81 51 66 84,Métro La Chapelle (Ligne 2) ou Barbès – Rochechouart (Lignes 2 et 4),http://split-coworking.fr/,
Le Laptop,"6 rue Arthur Rozier, 75019 Paris",01 77 16 65 24,Métro Place des fêtes,https://www.lelaptop.com/,
Mutinerie Coworking,"29 rue de Meaux, 75019 Paris",09 81 74 92 00,Métro Bolivar (ligne 7 bis) ou Colonel Fabien (ligne 2),http://coworking.mutinerie.org/,
,,,,,
WoMa,"15 bis rue Léon Giraud, 75019 Paris",01 40 18 59 21,Métro Ourcq (Ligne 5),https://woma.fr/fr/,https://www.instagram.com/woma_paris/
La Ruche,"24 Rue de l’Est, 75020 Paris",01 83 64 59 04,Métro Pyrénées (ligne 11),http://la-ruche.net/,
STARTWORKING,"103 rue Pereire – Parc Pereire, 78100 Saint-Germain-en-Laye",01 39 21 90 97,"Gare RER A Saint-Germain-en-Laye, Accès N13/D113 via A13 / A14, bus 22 R2 / Nord et Résalys R4",http://www.startworking.fr/,
Le Trèfle,"31 bis Rue des Longs Prés, 92100 Boulogne-Billancourt",01 80 87 46 01 / 07 61 63 22 57,Métro Marcel Sembat (Ligne 9),http://www.groupe-letrefle.fr/,
TimeWorkSpace,"3 bis rue Jean Jaurès, 92800 Puteaux",01 49 00 05 40,Métro Esplanade de La Défense (ligne 1),https://www.timeworkspace.fr/,
Sceaux smart,"10 Rue Gaston Lévy, 92330 Sceaux",06 73 02 44 46,Métro Robinson (RER B) ou Sceaux (RER B),http://www.sceauxsmart.com/,
Coworking95,"11 ter rue Bergeret, 95290 L’Isle-Adam",01 34 69 26 93,Gare L’Isle-Adam – Parmain (ligne h transilien),http://www.coworking95.fr,
Sandbox 212,"6 – 8 Cours du Danube, 77 700 Serris",,"RER A, station Val d’Europe",http://www.sandbox212.fr/,
Mon Premier Bureau,"100, avenue de Stalingrad, 94800 Villejuif",,,http://www.monpremierbureau.org/,
